Followers,Following,None,Creators,Personal gods,Local events,Professional services,Restaurants,Non profits,General Interests,Publishers,Transportation,Business,Home Services,Auto Dealers,Food,Government Agencies,Content Apps,Grocery,Entities,Lifestyle services,Geography,Tematica
15,11,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Musica
16,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciencia
66,76,0,13,1,0,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,Fotografia
25,18,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Esport
168,64,0,13,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,Oci
141,75,0,17,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,Fotografia
555,64,0,1,4,2,1,0,0,0,0,7,5,4,1,0,0,0,0,0,0,0,Transport
4749,323,0,12,11,20,3,1,3,1,3,0,1,2,3,0,0,0,0,0,0,0,Oci
94,34,0,3,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,Noticies
248,27,0,3,1,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,Noticies
587,149,0,2,3,1,26,0,25,0,2,0,1,3,0,0,0,0,0,0,0,0,ONG
4505,93,0,6,2,0,10,0,5,0,5,0,4,1,0,0,0,0,0,0,0,0,Noticies
446,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Musica
240,112,0,17,2,4,0,2,0,4,3,0,0,2,0,0,0,0,0,0,0,0,Musica
5572,86,0,8,6,10,2,2,11,4,1,2,1,2,2,0,0,0,0,0,0,0,Entitat
126,131,0,13,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,Turisme
4236,47,0,2,2,4,3,0,8,1,2,0,0,2,0,0,10,0,0,1,0,1,Entitat
11782,44,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Ciencia
